english,romanized
i wonder where ugyen learned how to do that.,zai ugyen ghi ani zum gaty ley lhab chi ga mo
would you mind if we left?,choe zob now ga nga chay jo wa chin?
this is not worth getting worked up over.,tsub tsub bae di khung chi mindu mena
i have not seen you for a while.,choe mathomba halam yasi
let me get you something to drink.,choe thung ni gi gachi chi ba wongay
that could not be helped.,gani ya bay mi tshu
where is the director?,thrizin gatey mo
how did you wind up doing this kind of work?,gaday bay la bayni go tshu yi
something was not right.,gachichi di zoe ccc
the novels he wrote are interesting.,kho gi drey mi kidayp dhi trowa dhu
i am waiting for my friend.,nga charo lu ghu dho
is it possible to reprint this article?,ani artical di reprint chab tsu ga
do not try to carry too much.,na may sa may ba ni gi tshi ma bay
i think that would be very helpful.,ani di helpful wong ni may tay
i had my suitcase carried up to my room.,nga ra suitcase room tshen baye
she was captured trying to steal jewelry.,mo dhi dha zhim chi baty norb awoo ku da
i am adamant that you should go.,choe song say lab chi mena
i promise you i will come early.,"promise, nga hasa thoenwong"
he heard a shout.,kho gi namcho gu kay gonu
bring me a dry towel.,towel kam basho
we need to focus on our strengths.,nga chey gi strength na focus bay go
i like my life right now.,dato nga ra gi me tse ra gaway
please shut the door.,go dam nang
are you sure you can do this?,chie bay tsub gush
it is morning here in my time zone.,nga chay gi na di droba enn
chime took care of our children last weekend.,dangzha gi duenthra na chime gi nga chay alu tshu tayi
we talked to each other for a while.,nga che chi dang chi lho lab bae dhey yi
i know what you are thinking.,choe gachi kor lay think bew ena nga ghi shey
show me the picture.,par toen nang mae
i know dorji knows something.,nga gi shay dorji gi gachi chi shay say
he asked for some money.,kho gi nga lay tiru atsi len day.
i cannot afford to buy a new car.,nga gari sab nyo metshu
no one is so poor that he cannot afford to be neat.,"ga ya amchi changka mae wong, hing sangsang bae dae ma sub"
mathematics is not just the memorization of formulas.,math di formala cheri zha ni cham chi men cc
i have rights.,nga lu rights yoe
do you have anything in mind?,choe gi guto na gachi yoe
i have experienced the same thing.,nga ya di bae yiii
"if you follow me, i will show you the way to the hospital.",choe nge teen da wa chin meenkhang gi lam nga gi ten yong
what did dorji answer?,dorji gi len gachi dhu
your honesty is refreshing.,choe gi honesty ben refreshing du
what is the rush?,gachi tsap mo?
she looked at me and laughed.,mo ghi nga lu ta bay ga dhey yi
ugyen missed it.,ugyen ghi miss bayi
that needs to be corrected.,dhi tshu layshom zo go bay
i have to go to the store to buy some shampoo and toothpaste.,"nga tsongkhang na jogo bay, shampoo da toothpaste ngyo wa"
it was hard to believe.,den zi ra ma ri
tell gyeltshen to stay where he is.,gyeltshen lu lab kho gaty doe ye ye ana ra doe say
i am on the beach playing volleyball.,nga chuye thama ball tsey dhi yoe
i am familiar with such things.,nga familiar en
gyeltshen is boring.,gyeltshen jay chungku may
"if i had a dime for every time i heard that, i would be rich.",ani tsa ray ha ghowo da shiki chi thopn nga chup ya sop wong
i think we should get back to work.,nga chay dben la nng jogo bey.
"let me finish, ok?","haymara nga tshagay, tub?"
she wants to kill me.,mo nga sey ni lo
why did i not know this?,nga gi ani gachi bay mashep mo
it is not fair to attribute your failure to your parents.,"choe choera tsa kha matsi wa, parents lu kha key ni dhi its not fair"
we do not always agree.,nga agree bay ne mee
"you understand korean, do not you?",choe korean hago mo. me go ya?
i am glad to see you are ok.,nga sem ga yi choe laeshom bay du sey
let us all take a deep breath.,nga chay gara bu lengay
you are not safe there.,choe pha safe mindu mae
i did not know you were from boston.,nga choe boston lay en sey mashay
you have cute eyes.,choe lu cute eyes du
i do not want to share the hotel room with a stranger.,nga room stranger ngyam share bay go mano
i know as little as you do.,choe baymi nga meshay
it is me!,nga en
oh no!,kai sa kai yi!
he is innocent.,kho layshum en
that movie is exciting.,ani loknyen dhi trowa dhu
i do not understand what is happening.,ha mi go bay gachi baywo ena
i just need a little time.,atsi duetshey gobay
do you think i would really do that?,choe gi ta wa chin nga ghi ani zum bey wong sey now mey ya
what did you make?,chie gi ga chi zo ye
"if it had not been for your advice, i would have failed.",choe ghi labja menba chi nga failed then yi
japan's rice market is closed to imports.,japan gi shum tshu nang dren bay ren dho
he is most likely to succeed.,kho been succesful joni zumchi dhu
thinley is a bad coach.,thinley ghi la layshom mi bayway
hop in.,zi da
i do not see how.,nga gi me thong bay gaday bay
i want to make that very clear.,nga lo hing sa sa zo go bay
i had a good coach.,nge coach layshom chi yoe
i could fire you for that.,phi ghi zholay choe toen tang tub marey
can somebody get that?,len ba sho ta
these glasses do not fit me well. they are too large.,ahne glasses tsu nga lu metub bay. bom ra bom may
there are certainly some points worth considering.,ga bay rung atse chi dhi worth of considering dhu
we will meet again.,lok chey wong
that is against the rules.,ani dhi rule da tei bay menbay
tashi was not wearing shoes.,tashi lham ma gyen bay
thinley hardly ever wears a tie.,thinley gi tie amm chi guen raa me tub.
no one showed up.,ga ya mawong bay
he wanted to buy the book.,kho ki deb ngo ni lo
can i show you something?,nga choe lu gachi na chi toen ga?
ugyen was not complaining.,ugyen gee complain baw men
what in the world are you doing?,choe gachi ra bew mo c?
do you have any tattoos?,choe lu tattos yoe bu?
we listened to his lecture on the radio.,radio na lecture nyen yi
dorji gives us what we want.,doeji gi ngachay go mi dhi jindhay
thinley wants to be famous.,thinley famous go noo yoe loo
i would advise you to not drink that water.,nga gi lab gay aphi chu di mathung sey
she taught me how to swim.,mo ghi toen yi tsay chab ni
my daughter's driving me crazy.,nge bum gi guto na chup mey
everything is ready.,gara dradhi yoe.
i was able to find the book i was looking for.,nga gi tshey mi lhabdhep dhi thob chi
he took a taxi in order not to miss the train.,kho ghi train miss mabay ni denlu taxi baanu
i studied french for three hours last night.,dangzha numo gandra sum french lhab dhoeyi
i was forced to go.,nga jo go ma no bay ra jo yi
she is all skin and bone.,mo sha dha ru to cham chi en may
i was the only woman.,nga cham chi doe yoe bum
thinley is obviously a jerk.,thinley di mi laysom mindhu
do you expect me to believe you?,nga gi choe lu denzel reyhing zer rey cha kel do ya
everybody hates ugyen.,gara gi ugyen miga
gyeltshen needed a good job.,gyeltshen lu yog chi gob doe nu
his father is conservative and old-fashioned.,kho gi apa dangphu gi mi emay
i wonder what dorji is thinking.,dorji gachi think bay dho ga mo
why do not you understand?,choe gachi bay ha go matsub mo cc
you could have told me.,lab go ba tey nga lu
i can walk to school in 10 minutes.,nga lobdra na karma chutham na hay tshu
all this has now changed.,ani geyra soso jo nu
i spent 100 dollars today.,dari dollars lak tangyi
i do not know the reason why he went there.,nga mashay kho gachi bay apha go yi ga
come in.,zi nang na
she got so carried away listening to the beatles that she missed the date with him.,mo layrim ta doe be say kho chay ne ya jay so nu
how often and how much should i feed my dog?,nga gi rochi lu gamchi da gadey bay feed bay go ga
what time will you get to the station?,station lu time gamchi na hoe wong?
is there anything i can do?,help gop mi ga?
we have had enough of that.,dabaen ngachey tubchi
how could anyone not like music?,mee ga se me ghi anzum zhanbthra me ga?
tashi put all his belongings in a small suitcase.,tashi gi chala gara dom chungku dhi na tshu nu
we are closing early.,nga chay joba dam bi
chime is not at home.,chime chim na mindu.
pema likes watching tv.,pema de tv ta ne ga way
you are all cowards.,gara tsagey embay
are you feeling under the weather?,choe sem magaw dray mena?
i do not want you to get hurt.,nga choe neb thoen chu go ma no
they want to know what is happening.,khong tsu gachi bay dey ga shay go no nu
i asked him where i could park my car.,nge gari dhi gatay park chab na say driyi kho lo
what lovely weather!,namshi naytang laeshom dhu
i need to repay her.,mo lu lok teru tay go
dorji is still outside.,dorji dhato ya chikha dhu
"visible from space, the great barrier reef is the largest structure on earth made by living organisms.","the great barrier reef di structure biggest ra en mai on earth made by living organism, and its visible from space"
we are weak.,ngachey weak yoe
the most essential thing in the world to any individual is to understand himself.,zamling dhi na mi lu kha chesho ra khong ha honi dhi enn
she is friendly to everybody.,mo gara dha che kha choaro bay doep en
i wanted you to see that i am not all that bad.,nga choelu amchi ra chichow men tsay lap ni doeyii
was dorji there?,dorji pha duga
maybe gyeltshen was trying to warn us about something.,gyeltshen gi nga chey lu warn bay ni try bae bee dre mena
"regardless what you say, i do not believe you.",choe ga chi lap ru nag thenzi mi ri
i will meet you outside.,nga choe ngyam chikha chey gey
we saw a stranger walking outside.,nga tsay ghi me sab jo sa thongyii
cutting a cake into equal pieces is rather difficult.,cake equal bay cut bayni di lakha du mai
could you possibly translate this for me?,choe ge
they are running in the park.,park na jug bay doe nu
he can cook as well as his wife.,kho da kho rai aumtsu nye cha ra gi tho bay shay
i like listening to dorji.,nga dorji gi lo lu nen ne ga
tashi cannot rely on mary's help.,tashi de mary's ge lo thay me tshub charo bay hong say
what natural foods help curb the appetite?,natural foods gachi ge appetite curb bay ne na help bay wong
your team is stronger than ours.,choe gi dhay tsen nga chay lay shu dhu
i know he is busy.,nga ghi shey kho busy enn.
dorji and mary do not agree with you.,dorji da mary choe ngyam agree bay mitub bay
the cow gave birth to a calf with two heads.,no di gi calf with two head birth jinu
tell them what happened.,khong lu lab jin da gachi bay yi ga
get out of there.,pha song
i cannot believe that is what is really bothering tashi.,"nga den zi ri mi tsu bey, aphi gi i bother beyi lap da"
we will be back on air shortly.,luma na jiba ra lok haywong
i think there is a problem.,ka ngyel chi du
gasoline is sold by the liter.,makhu liter na tsong may
i am alarmed by your irresponsible attitude.,choe attitude kham lo cc dee gi nga irri zoo doo.
i do not know much about computers.,lorig computers ge korly atsi rey chamchi shey
gyeltshen has his own bedroom.,gyeltshen kho ra gi bed room du
gyeltshen is my husband.,gyeltshen ean nge mab
his camera is three times as expensive as mine.,kho ghi camera shi nge ghi lea sum tap en
he appeared thinner every day.,kho nhim chi wa nhim chi nham sho dae
dorji promised not to smoke anymore.,dorji daben tamkhu mithung lo
i swim every day.,nga atara tse chaba johong
chime is listening to his ipod.,chime kho ra gi ipods na ngyen dey
i am really happy.,nga ngoma ra sem ga yi
he makes it a point to remember each one of our birthdays.,kho keywi nim cheri tang ni thab lam halam toen ni yoe
this sounds very interesting.,ani ben trowa chetokto ha gow mey maii
i am a foreigner.,nga chillip en.
will he recover?,kho dra wong ga?
who were you protecting?,choe ga project bew mo
those shoes will not do for climbing.,ani lham tsu la bay mitub yata zay ni doen lu
i burned the cake.,cake tse so nu
i just want to go to school.,nga lopdra na jo ni
take a nap if you are tired.,atsi ngye dhoe ty wu dhu wa chin
i did not expect to see you at a place like this.,nga expect ma bay choe ani zum place na choe do wong sey
the urban-renewal project is now well under way.,urban renewal project di da ben lakshom bay go tsu dey
she is awesome.,mo lekshom dhu
i just moved here.,nga dato chim pop chi ra enn
it is nothing to be alarmed about.,alarmed joni gi doen da mindu mena
the meeting is all over.,meeting di zou cc
i just cannot wait.,nga gu mitshub bay
that could work.,ani gi la bay ni mae
thinley was in boston last month.,thinley alst month boston dhayi
hand me the remote.,remote kalau na tangsh
it was exciting.,na may sa may trowa thoen yi
please let me know as soon as it is decided.,dray tha choep chi nga lu lab nang.
a big wave swept the man off the boat.,chu gi yab lab gi mi di dru tho kha lay chak ba nu
we are all agreed on that.,nga chay ga ra ghi lha zayi
i brought wine.,nga ge wine bayi
you are not supposed to smoke here.,na lu smoke bay mi tub
he turned to his friends for help.,kho khorai cahro lay charo len dhay
maybe we should pray.,nga tawachin nga chey tsu moenlam tab go boe
i just want to go home and sleep.,nga chim na jo bay ngye go ngoyi
close your eyes again.,lok mito tsum
i must've forgotten.,nga jay sop wong
i will finish it later.,nga ghi tama zob bey tang gey
the bus stop is across the street.,bus stop dhi street ghi phata dhu
i saw nobody around.,ga gi ya ma thong
he failed to escape from the fire and burned to death.,kho mi lay jo ma thay ba shi so nu
i will not do it again.,nga lok mi bae
my mother has not slept in 3 days due to her illness.,"nge aye na dhi, zha sum day chi ya c mo ngye ma tshu ba."
i suppose i could change a tire if i had to.,khoro de so gom zum du
can i take a look at it?,atsi tagay
could you tell me how to use the telephone?,telephone use baeni toen na mae nga lu
why would you ever want to do a job like that?,choe hani la gha chi bay bay ghop mo laps
i do not handle loneliness well.,nga loneliness handle bay mishay bay
i frequently recall my happy childhood.,nga threy threy ra chungku bay sem ga dey doeb ghi cheri tang may
it was awfully funny.,funny dheyiii
no way!,no way
you are a prude.,choe ngo tsa doe mi chi may
he is ashamed of his behavior.,kho ra gi behaviour ta bey ngo tsau mey lo
tell him to wait.,kho atsi gu lab
do not you feel stupid now?,da choe ra tsa gay zum mi tsow may ya
it was a hoax.,kho gukor chab ni ghi denlu may
chime is insanely jealous.,chime jealous thaw mae
we won.,nga chey gey cc
he is my hero.,kho nge ge keta en
i must get going.,nga jogo bay dha
i saw chime and mary leave together.,chime dang mary chikha josa thingyee
i do not like any of these pictures.,ani picture chi yang miga bay
you speak french very well. i wish i could speak it as well as you.,choe french lyashum bya ra shay bya. nga ya choe zum shay ru tubya
he kept on crying.,kho ngu deb may
make your choice.,choe gi choice
i am sure i can persuade ugyen.,nga gi shay ugyen gi ngen wong
we walked ten miles that day.,nga chay tshu miles lam jo he aphi nem na
double-click the icon.,tsha ni yab anna
pema cut the cake with the new knife mary had given him.,mary gi cake jin mee de pema gi gichu sao gi toe nu.
do not be shy.,ngo ma tsa cc
you are a good liar.,you shob puetsa bay chab shaybay
i cannot carry on like this.,nga anay bay dey mitsu nimae
no one knows the answer.,len dhi gagi ya meshay
dorji has never gotten over mary's death.,nga mary shiyee say dhan zhi ray mitshup bay
i will always be there for you.,"choe gi den lu di, nga atara doe wong"
do not ask questions. just follow me.,diwa ma di ba nga nyam sho
thinley has trouble sleeping.,thinley di mye ni gi problem dhu mena
let me introduce you to a new way of doing that.,kalay nga ten gay gatay ba bay go ga
he was held in captivity.,kho tsoe na zha nu
he is going to stay with his uncle for the weekend.,kho azha nam dhay ni lo
this is taking way too long.,nami sami duetshay lem may
he drove to school.,kho gari da joyi school na
you are just tired.,choe tired dhu sa
i have not talked to you in a while.,dari naba nga choe dha chi kha llo ra malab sa
i do not want you to get the wrong impression.,nga choe gi dhongkha zob thong go mano
the children love listening to fairy tales.,alu tsu fairy tales nyen ne ga
they are walking without shoes.,juta me ba lam jo day
success depends mostly on effort.,sucess dhi effort lu depend baywong
we are not really brothers.,nga chay nye puencha men
clean your room.,choe room cha
he is young and healthy.,kho zhoem dha tob shu dhu
he left home early in the morning so he would not miss the train.,kho train gi ko mazha ni den lu droba lay ra chim lay yasi
"get out of here, all of you!",gara chi kha then
i think we can handle that.,nga ghi ta wa chin nga chey ghi bey tshub
i really need your help.,nga lu charo go bay
"sorry, i forgot.",sorry oie chari jay soo nu.
was tashi in boston yesterday?,tashi boston na daeyi ya khatsha?
i left you a message.,nga gi choe lu message chi kayi
i will lend you whatever book you need.,nga gi choe lu book nga chi gob chi jin ni
are not you happy?,choe sem ma ga ya ?
i want a better look at this document.,nga ani document dhi leyshom bey tago bey
he taught me how to swim.,kho gi nga lu tsey chap ni toen jinyee
let us not waste our money.,tiru waste mabay gay nga chey
the bus should be here by now.,amchi kha de bus hoe go sa mo
which browser are you using?,choe browser ga chi dhi use baew mo?
gyeltshen and mary make a very nice couple.,gyeltshen da mary couple jigs du
my parents call me up every day.,pham gi atara call baw may nga ly
these cups are all broken.,cups gara cha nu
i am loved by my parents.,nya ra gi pham tus gi nga lu ga
i have lost my umbrella. i must buy a new one.,nga gi umbrella jangyi. nga sarb chi ngyo go bay
tashi is taking good care of himself.,tashi dhi khora ghi dakzin leyshom thab mey
i would be careful.,nga ghi layshom bay ra ta yi
he breathed deeply before entering his boss's office.,gongm gi yektsang na majow da kho bung rem bay len jow en
"they survived, even though the building was destroyed.","chim day ya so ru, khong ma she"
you should have seen that movie last night.,choe gi kgatsha ani movie dhi gachi bay tayi
how old might his grandfather be?,kho ghi agay lo gamchi en ga?
"excuse me, what time is it?",choe gom ma thre wa chin nga lu chu tshay gam chi jo nu lab na waii
it is dark.,na dhung dung amy
we need to cut costs.,nga chay cost dhi cut bay go bay
i did not work yesterday.,kha tsha nga la ma bay
"come on, trust me.","aii sho wai, nga lotey nang"
do not go near the dog.,rochi tsawa majow
pema brought flowers.,pema ghi meto ba nu
"in their case, it was love at first sight.",ani zum nga gu dhang ba thom chi sem sho se
pema did not want to sit next to me.,pema nge bolo me doe lo
i think that thinley lied to me.,thinley shob chabchi
this is unsafe.,ani unsafe may
they said there was not enough time for a full investigation.,khong ghi investigation den ley dhuetshey leyshom mathob
chime does not speak french at home.,chime french lap ni mi chik
what a lucky person he is!,jay bom dhu
what causes that?,gachi ghi bey ena?
i remember giving pema some money.,nga gi pema lu teru jin bi chay ri chi du
she did not reply.,mo gi lok reply mabay
you will not stand a chance.,go khab ra me thob.
have you seen all these movies?,choe gi ani longyen gay ra ta ye bu
i was not the one who wrote this.,nga gi ma dri ani di
i found it difficult to use the machine.,nga ghi machine tro dha la kha chab mae
did pema go alone?,pema khora joye ya
i really like this skirt. can i try it on?,nga ani skirt di nami samey gawey. nga atsi gen ta ga?
get out!,thoen song!
"a cup of tea, please.",ja phrob chi nang wai
it is out of fashion.,ani dhi dhang phu ghi chi embay
the mother of that child is an announcer.,ani alu ghe aie dhe lo lab me dhe embay tay
the men followed him.,ab dhi ghi ting da day
you are gross!,choe khamlosisi du
i am listening.,nga ngyen do
the train lurched to a standstill.,tain dhi stop na wong yee
i taught myself french.,nga ra french lhab chi
his leg was bitten by a crocodile.,kho ge kam chusen ge so tab
you can wait for me here.,nga gi dhen lu na gu dhey marey
she was not friendly with him then.,mo nga yam zhen zum drel wa me
he stared at me from head to foot.,kho gi nga lu guto lae kam tsen tadey
we stopped for lunch at a local restaurant.,nga chay nima ghi zey dhen lu khang za na lu gu yi
that cannot be good for you.,ani choe doen ly laeshom mem wong sa
is the cat on the chair or under the chair?,jili chair in thokha mo holu mo ?
that is all i do.,anim chi ra en nge laa
i will never let that happen again.,nga dhaben log ane zum me bay
are you losing your mind?,choe chhay sob drey mena
adjust the brakes.,brake adjust bay mae
these questions can be answered quite simply.,ani question tsu ni answer simple na bae tsub tay
i remember hearing about pema.,chay ray tang say nga gi pema gi kor lay ha go yi
her hair was long enough to reach the floor.,mo ge hair de floor na ya hey ne may
it was where tashi said it would be.,pha dhey yi tashi ghi lab mi na
"a man with a watch knows what time it is, a man with two watches is never sure.","phoja watch chi yoe me gi time gamchi ena shey wong, phoja watch ni yoe me gi nam ya sure may wong."
it is 50 yen.,dhi yen embay.
the tv's on.,tv on ra yoe
he has recovered from his bad cold.,kho tshadrim lay dra nu
they have explosives.,khong bae sa explosives du
he shined his shoes.,kho gi lham yoe badhey
she gave me a nice pair of shoes.,mo gi nga lu juta layshom chi jin dhey
what a strange story!,story psyco chi mey
they were dancing to the music.,choe music na dance baydhey
i do not want your legal advice.,nga advice me gi se legal bay ru
please turn in your homework by tomorrow.,choe tsu gi homework di naba submit bay mae
keeping a diary also gives us a chance to reflect on our daily life.,gachi ra bew ena dri zhaba chin rang gachi bew ena shey tshup enn
keep me informed.,nga lu lab dhi ra dhey mae
tashi sang me a song.,tashi gi nga lu song chi sing bay dhay
i have spent most of my life here in boston.,nga mam ra boston na doe yi tay
almost everything has been improved.,halam chi gara yargay jonu
i am really angry right now.,nga dato tsip za bay yoe
my homeroom teacher is mrs. jackson.,nge gi lobkhang lobpoen dhi mrs jackson een
i am at the restaurant.,nga zakhang na yoe
i want to see what is on the other side.,so so side na gachi yoe ga ta go bay
this has all been a misunderstanding.,dhi gayra goda chiju may
a soldier often has to confront danger.,soldier tsu threl threl danger confront bay go
i am shy.,nga ngo tsaw mae
who will take care of your cat then?,choe gi jili gagi dazin bayni tey
you are in the right place.,choe hoe go mi sa go na em bay ty
my mother was sick for two days.,ngyi mother nim ni gi dhen lu na bey dheyi
he bought a dozen eggs.,gongdho dozen chi nyo nu
i go jogging.,nga jukni yoe
gyeltshen was forced to resign.,gyeltshen forcedfully gom zhu chunu
what is that bird called?,ani bja dhi gachi lab mo?
do you see a black horse?,choe gi ta nap chi thom mey ga?
i want to go to sweden.,nha sweden jogo noi
what kind of places would you like to see?,gachi zum gi sa go tago noyi
he has many tenants on his land.,kho ghi sa na khanyep laesha dhu
the engine died.,engine shi so nu
the mailman comes around every three days.,mailman dhi atara nyim sum gi shu lay wom een
help us.,charo bay nang nga chey lu
we worked together.,la chi kha bay hay
my parents sent me to fat camp when i was thirteen.,ngyii ap aie gi fat camp na nga lo chusum nang tang yii
i regret what i said.,logoe kay gop jungye lab tsa bay
i would like to explain this in a little more detail.,nga gi atsi more detail na explain bay gay
all our teachers were young and loved teaching.,teacher tshu gara chungku bay pecha toen ni lu ga
i have never tried.,nga nam ya try ma bay
smoking is permitted.,tamkhu thung cho
our financial problems are serious.,teru mibi k ngyel bom yoe may
they hid themselves in the shadows.,khong tshu shadow na lay pha epp doe nuu
i asked him a question.,nga gi kho lu question chi ask bay yi
i think thinley is a really nice kid.,thinley dhi alu layshom dhu sey
half of them are students.,khong chekka chi lobthru embay
no one's prepared.,gaya prepared mindu
i was not responsible.,nge genkhu men
i skipped english class this afternoon.,dari nyima na nga ghi eng kay lhab chi
no one believes that anymore.,gagi ya believe mibay aphi di
go away.,go away
can i tell you guys something?,cheng lu lo chi lab ga?
pema did not want to talk to anyone.,pema ga lu yang lo lab go ma noye way
dorji and mary are playing a video game.,dorji dang mary game tsey dhey nu
he has small feet.,kho luu kam chungkhu yoe.
i do not understand what the author is trying to say.,author gi labmi hamago
i am getting married next sunday.,nga next sunday ngyen chab dho
that box is bigger than this one.,ani box dhi aphi box lay bome yoe
you are free to go.,choe jo do choe
gyeltshen went to japan on a work holiday visa.,gyeltshen japan na ya so nu la gi visa na
this doctor is a man of culture.,kho dhi namsel dhu ga mi mae
it would be better to try.,try bay wa chin dra wong
did anyone notice anything unusual?,ga gi ya gachi chi mathong ga?
the captain is responsible for the safety of passengers.,captain di responsible en passenger safaty doen lu
please tell pema i am sorry.,pema lu nga gi sry lab day say
i need more time.,nga lu dhutshey atsi gho bay
i am not sure what he was thinking.,kho gachi lap ina nga ten ten mi
pema's reaction was the opposite of what mary had expected.,pema gi reaction di mary gi opposite may tay
they begged us to help them.,help bey na zey kuchey sho dhey
can i think about it?,ani gi korlay nga nosam chi tang cho ga?
we are in college.,nga chay college na ne
"i would like to ask you a question, but if this is a bad time, i can come back at another time.","nga choe lu question chi ask bay ni yoe sa but dato bad time en ba chin, next time ask aby gay tay"
that sounds awesome.,ani ben khas dhu se
his debt came to 100 dollars.,kho ghi bangki dollars gu hae chi
my aunt grows tomatoes in her garden.,nge gi ama gi dum ra na lam men dha kay wong
we have still got a lot of time.,daru ya duetse lasha yoe
i planted an apple tree in my garden.,apple gi shing chi tsui nge dumra na
do not ask me to do this.,nga lu bae sae ma lab
she was stupid enough to go out with him.,mo dhi stipud chi doe nu kho chikha date bay bay
i think we are going to win.,nga chay gay ni zum chi yoe nga gi baewa chin
he kindly answered questions.,kho gi len layshom bay lab dhay
he acknowledged my presence with a nod.,kho guto yu dhay
lock your door.,gho dung n
that is the one thing i am sure of.,ani cham chi en zum bayi
would not you rather sit by the window?,choe gochu ghi dong kha mi dhey ya?
i fell in the pool.,nga pool na bue ya c
i dated mary for three years.,nga mary chikha lo sum date bayi
i worry too much.,nga tsha gay lam bay
why are you wearing that?,choe ani gachi bay gen mo
"because her parents got divorced, the girl had little contact with her father.","mo gi apa dang aei kha jay ni di gi, mo apa dang chi kha drelwa namey samey chi thab ni mi"
you will never know whether you can do it or not if you do not try.,"cho gi ma baw tshen, bay tshub , mi tshub mi shay"
i do not have the time for this.,de tshay me ani ghe dhen lu
food costs money.,za ni gi den lu teru go sii
he had his share of luck.,kho ra gi kaww thob nu
it was a waste of time.,due tshey zoni la mae
i am taking tomorrow off.,nga naba nayl so len dho
carry her to the operating room.,mo operation room na ba
he follows the rules to the letter.,kho gi rules follow bay wong to the letter
everyone in my family is happy.,nga choe puencha gara sem ga bay yoe
they love their kids.,khong gi khong ra gi alu lu ga
i am not sure about this.,mashey ba ani dhi
he needs a towel.,kho towel go bay lo
"on behalf of my classmates, let me say a few words of thanks to you.","classmates ghi khatho lay, few words chi jga ghi share baygayy"
i borrowed the book from this library.,nga book ani library lay borrow bei
that is ridiculous!,psycho gi lo mey
am i first?,nga first enna?
what else did you eat?,gachi za ni
the water was cut off yesterday.,khatsa chhu chay c dhu
"the girl was carrying several books, not textbooks but thick hardback books.","bum dhi gi didhep laysha baday, lopdep menba dhidep satra ra may"
can you tell the difference?,difference lab tsub ga choe gi
go now.,jo datara
i need to sleep a little.,nga atsi nye go bay
help me for just a minute.,dueyuen karma chi ge denlu charo bay na
we used to sit on these steps and talk.,nga chey rani step na dhey nay lo lab wong
it is not a virus.,dhi virus men
tell me more.,nga lu mam labsh
something must be wrong with the camera.,camera gachi nachi bay nu
i did not suspect anything.,ga chi ya suspect ma bay tay nga gi
chime overslept.,chimi nyel da nu
he wanted to see his boss in tokyo before leaving for america.,kho america majo wae heyma kho rai gopen tokyo na chay ni mae.
he works for a big newspaper with a very large circulation.,"kho neysul khang bom chi na la baw en, kho ngo shep ya leysha yoe"
gyeltshen is calling us a taxi.,gyeltsehn gi taxi call chab dey nga chey doen lu
i chose last time. you choose this time.,nga gi last time choose bayi. this time choe choose bay mae
the teacher asked me a difficult question.,lebey ghi nga lu driwa lhakha chi jin yi
nobody is perfect.,mi ga ya perfect mi
hug me.,pham tan na nga
"in a democracy, it is important that the press be independent.",democracy na press di independent doe ni gi important en
she was close to breaking into tears.,mo ngu ni zum du
he is a liar.,kho shobzay inn
his curiosity knew no bounds.,kho gachi ya shay go
he could die.,he sisi wong
it is not a date.,ani de date man
join us.,join bay ngachey
she pretended not to hear him yesterday.,mo gi kho gi labmi dhi hara magaw zoom doeb may
call us.,call bay nga chey lu
i am glad i did it.,nga ani bey bey tiktik tang nu
chime is voting.,chimi tshogyen tshu day
no one's here.,gaya mindhu
what a beautiful town!,throm di laybay
i left.,nga ya cc
she almost always arrives late.,mo atara late bae wom mae
i do not understand what all of the fuss is about.,nga ha mi go way gachi na dop enna
hold on.,doe atsi
i thought it over and decided not to go.,nga gi di zoii c noi delya mejo c noii
gyeltshen does not understand you.,gyeltshen gi choe hame go way lo
that movie was amusing.,aphi movie bein jigs doeyi mey
was that another joke?,dhi gaydro so so en ya?
thinley sings in a church choir.,thinley church choir na sing bay dhay.
i think dorji said he'd be back.,dorji gi kho lok wong say lab they
gyeltshen speaks french fluently.,gyeltshen ghi french layshom lap mey
i have hardly any money with me.,nga lu teru atshi yang mi
i know the perfect place for our party.,nga ge perfect place chi shay party ge denley
i love that place.,nga aphi sago di gha
there is no chair in this room.,ani room na chair mindu
we will be together forever.,nga chey chikha ra dhae yong mitshey chi
i am not satisfied.,nga satisfaction ma thop
you should look up this word.,yani word di lhab ba chin lekshom en
he bought her a sweater.,kho gi mo gi sweater ngo nu
"introducing foreign plants, such as palm trees can damage ecosystems.",chigyel ghi tshing dhung tshu na tshu ni zum talai shing tshu rang zing nye tang lu nyeken jung hong
introverts often find it difficult to make new friends.,introver tshu charo sab zo ne lakha tang ne yoe
what if someone sees us?,ga chi bay ne ri ge nga chay thong ba chin
this milk has a peculiar smell.,ani om ben ham ta nu
"i will take your suitcase to your room, sir.","labay, nga gi choe gi dom ba gin gay"
he lives in a big house.,kho chim bom na deyhong
he did not attend the meeting.,kho meeting attend mabey
come on!,sho cc!
i did this for my son.,nga rai bu gi den lu baye
hang on!,atsi gu
no wonder he was arrested.,gachi arrest mijo ni tay
ugyen hates homework.,ugyen homework megai
it was kind of you to help me.,choe laeshom bae nu nga lu cahro bae di
an extremely terrible thing happened to him.,kho lu namay samay drosisi neytang chi jungnu
the foreign minister attended the talks.,foreign minister jhoen dhey
air is to man what water is to fish.,luma megi denlu chu nya gi denlu
tashi has been teaching me how to play the guitar.,tashi gi nga lu dramnyen tro ni toen jin dey jini yoe
how can i get to the station?,nga gadey bay bus zha sar jo gob mo?
