english,romanized
He wanted to see his boss in Tokyo before leaving for America.,kho America majo wae heyma kho rai gopen Tokyo na chay ni mae.
He wants to reach a wider audience.,kho lu mi lay sha go mi chi may
He wants to work in a hospital.,kho hospital na la bay may
He was absent because of the storm.,kho hey matshu mi den da dhi nam shey layzhum meb lay teon embay
He was acquitted.,Kho ro gi tang da nu
He was exposed to danger.,kho nenkha na thoen nu
He was held in captivity.,kho tsoe na zha nu
He was intrigued.,kho intrigued
He was killed in the earthquake.,kho earthquake na jong su dhu
He was named after his grandfather.,kho ge ming kho rai agay ge ming ta nu
He was painfully skinny.,kho chasi si deyi
He was passive by nature.,Kho haema lae ra anzum yoe
He was proud of his daughter.,kho rai bum lu ta ngay rang nu
"He was sick, but he went to school.",kho na de dhay nu de baru kho lobdra na songnu
He was struck off the list.,Kho list lay toen tang nu
He was the last person I had expected to see during my stay in America.,nga di American doe bi time na kho chay wong c ra ma noe
He was the only man.,phoja zay mi di kho lu lab en
"He was tired, but he kept on working.",Kho wu dhunu bro
He was unimpressed.,Kho unimpresses doe yi
He was worn out when he got home.,kho chimna haypda wu dura dunu
He was wrong.,Kho zey c du
He went on reading the book as if nothing had happened.,kho gani ya mabeyb zum bey book lhab dey nu
He will explain it to you when he comes back.,kho gi lab wong tama lok wom dha
He will have left here by the time you return.,kho jojow wong choe lok wom da
He will object to your going abroad.,kho ghi choe chi gaykhab jo nu lu nyen mitub
He will soon be past playing with toys.,kho jobara tsim tsini ghi ditsuey zowong
He wore a pullover sweater to keep from getting cold.,kho ma Jang ni denlu gola gen ni
He works as a translator.,kho kayjurpa enn bey
He works for a big newspaper with a very large circulation.,"kho neysul khang bom chi na la baw en, kho ngo shep ya leysha yoe"
He wrote me a long letter.,kho nga lu letter rim chi dri tang nu
He'll be back in a few minutes.,kho atsi kha lae wong
He'll be safe with me.,kho nga chikha lekshom bay zha wong
He'll be sure to smell a rat if I'm with you.,Nga choe da chikha yoen kho gi drim tshowong
He's a creationist.,Kho creationist enn
He's a Democrat fundraiser.,kho zhung gi den lu fund dhu mi may
He's a liar.,kho shobzay inn
He's a nervous wreck.,kho dros nervous zaa yong.
He's a sweet guy.,kho sweet chi yoe
He's about to go.,kho joni bay dhay
He's always worrying about his daughter.,kho atara kho rai bum ghi khorlay tshagay lang dhob may
He's an Asian-American.,kho asian amercian ean bay
He's an oceanographer.,kho oceanographer may
He's certain to succeed.,kho di thar khay wong
He's checking his cellphone.,kho julthrun ta dey
He's in pain.,kho zu chab dey
He's innocent.,kho layshum en
He's just kidding you.,kho gedra baywu mea
He's kind of handsome.,Kho sarim dhu
He's my age.,kho nga ghi lo embay
He's my best friend.,kho ngehe charo chamsho en
He's my hero.,kho nge ge keta en
He's not one of us.,kho nga tsay zum men
He's ready to go.,jo ni ready dhu
He's really into soccer.,kho soccer gaye
He's smart.,kho saytra dhu
He's still sick in bed.,kho dato ya na bay may cha na ra du
He's the class clown.,kho lobkhang gi atsara en
He's the prom king and she's the prom queen.,kho the prom gap dha mo the prom azhi
He's very young. He's much younger than Thinley.,kho zham ra ean thinley lay ya chung ku
He's young and healthy.,kho zhoem dha tob shu dhu
He's young and single.,kho di dato chung ku ra may
Heaven knows why.,zhingkham ge zikdhaywong
Help me for just a minute.,dueyuen karma chi ge denlu charo bay na
Help me!,Charo bay nang!
Help me.,Charo bay nang may
Help me.,charo bay nang may
"Help us, please.",ngachey lu charo baynang
Help us.,Nga chey lu charo bay nang
Help us.,charo bay nang nga chey lu
Help!,Charo bay nang
Her cardigan was unbuttoned.,mo ghi cardigan togchung lue so nu
Her classmates made fun of her.,mo gi lob drog tsu goedro zo nu
Her communication skills could be improved.,mo ghi lo labthang improve jodo wong
Her hair was long enough to reach the floor.,mo ge hair de floor na ya hey ne may
Her house is at the foot of a mountain.,mo chim dhi gangri tshawa ra en
Her husband is an excellent cook.,mo gi mup dhe zhay go bay me layshom chi en
Her mind is filled with dreams of becoming an actress.,Mo gi thraptshaep bay ni gi raywa drup nu may
Her mother always accompanies her.,Mo ama ghi atara mo lu jab chor bew
Her mother is a wonderful pianist.,mo gi aie piano layshom trobi
Her oldest son is not married.,mo gi bu gensho ngen machaby
Her son is sure to succeed.,Mo gi bu di sure may tay succed joni lu
Her son was killed in a traffic accident.,Mo gi buu dee lamthrom gi chhentog na jong soo nuu
Here is my phone number.,ya nga gi number
Here is where it all happens.,rana gara bay wong
"Here, drink this.","yaa , ani thung"
Here's what I think.,Nga no yi
"Hey man, take it easy. I'm just messing with you.",charo gaydro bay yi .choe tro trop en
"Hey, what's up?",wai gan baw
His aim is to become a doctor.,Kho Drungtsho bay ni cha zhi may
His behavior is worthy of respect.,Khoghi behzha dhi cha zhasisi dhu
His behavior spoke volumes about his upbringing.,kho gi bezha gi kho ra gi kolay gara ten dey
His brazen act of defiance almost cost him his life.,Khoi minyenpai jawa kho ra gi tshe sok shor tang yi
His brother is a famous soccer player.,kho gi nuchu dhi kang tsay tsey mi yong dra chen chi en
His camera is three times as expensive as mine.,kho ghi camera shi nge ghi lea sum tap en
His crime deserved the death penalty.,kho gi la nyen di tse tsoen thob nye ten dayi
His curiosity knew no bounds.,kho gachi ya shay go
His daughter has become a beautiful woman.,kho ghi bum dhi jarim ya so nu
His debt came to 100 dollars.,kho ghi Bangki 100 dollars gu hae chi
His face showed that he was annoyed.,kho dong ghi tsib zanu say toen dey
His face turned white.,kho gi dhond white jo yi
His family has to live on his small income.,teru atsi chi gi lang bey kho gi zatshang tsu
His father has never scolded him.,apa gi kho tso tha ra ma tang
His father is conservative and old-fashioned.,kho gi apa dangphu gi mi emay
His father left him the house in his will.,kho ge apa kho chim na ko zha nu
His ideas sound crazy.,kho gi idea di crazy may
His leg was bitten by a crocodile.,kho ge kam chusen ge so tab
His long absences were starting to provoke suspicion.,Kho ghi dheyen ram bay madey. Dokpa Jung ni go tshu dho.
His memory never ceases to astonish me.,Kho gi memory gi nga atara suprise za chu mae
His new novel will come out next month.,"kho ghi pay dheb dhi , shu mam ghi daw na thoen wong"
His only wish was to see his son one last time.,Kho gi last wish ra kho ra gi bu chey ni may
His room is always tidy.,kho gi room aatara hing sang sa en
His shoes are brown.,kho gi shoes color dhi brown may
His sister looks young.,kho gi num chungku thong may
His speech was not altogether bad.,kho shelshay di gara lashum myep di myen
His way of thinking is very childish.,kho noni alu chung ku zum dhu
Hold it!,zhash
Hold on.,doe atsi
Hollywood marriages rarely last.,hollywood gi nen ben am chi last me bay
Hop in.,zi da
Hop in.,zi nang na
Hot lemon with honey is a good remedy for colds.,hot lemon dhang honey nye de tshadrem ge den lu layshom enm
How about going to see a movie with me?,jo gay nga nam picture tawa
How about playing golf tomorrow?,Naba golf tsay wa me jo ga
How can I get to the station?,nga gadey bay bus zha sar jo gob mo?
How can I help these people?,nga khong lu gadeybay charo baytsu
How can I pay?,tiru gadey bey trey gob enna?
How can that be?,ga tay bay may
How can you be so sure of that?,choe ga day bay shape mo ani dhi?
How could anyone not like music?,mee ga se me ghi anzum zhanbthra me ga?
How could you not tell me about this?,nga lu gachi bay malab ?
How could you say such a thing?,gazum lab tsub mo ?
How dare you enter my house without permission!,choe nge chim na nangwa me ba ga gi zue lo
How did the traffic accident happen?,nu khor tu koen ga dhey bay jung yi
How did you come by this painting?,oi choe ghi tshen hani gha dhey bay dhom chi
How did you get a naked picture of me?,nga ghi naked par gatey ley thib chi
How did you get caught?,Gadey bay caught joyi
How did you hurt your back?,choe gi gayto dhi ga dhay bay dhungyi
How did you know all that?,choe gadoe bae shay chi ani gara
How did you lose so much weight?,choe nyam ga day zhu ye
How did you wind up doing this kind of work?,gaday bay la bayni go tshu yi
How do you eat like that without gaining weight?,nyam mata wa bey toh gadey zaw mo
How do you spell your family name?,choe ghi choe rai zatshang ghi ming ga dhey bey jolo chab wong?
How do you tell them apart?,Khong nyi what soso labdha bro
How does your wife feel about it?,choe ghi aumsu ghi gachi no dey
How far is it from here to your school?,ani sa dhi choe ghi lobdra ley gadhem chi ghi pha yoep mo?
How is your sister?,choe gi num/ ashim gaday bay yoe
How long did they live in England?,khong tshu ga dhay chi england na dhay ye
How long do I have to stay?,gamchi tshen daygo?
How long does it take to get to Vienna on foot?,vienna hay nee dhetshe gam chee go ye
How long does it take to go to the office from your home?,gamchi time take bew mae choe chim ley office tshen
How long has she been sick?,mo gamchi tsen na dhayi
How long have you been in this town?,choe town na ga dham chi lo dhay ye?
How long have you been working here?,choe na lu la beyi ra gadem chi yasi?
How long have you known her?,choe nam lay moo ngoe shay chi?
How long will it be to dinner?,Gam chi lue cc dinner ren ni doen lu
How long will the operation take?,operation gam chi gu wong ga
How many CDs do you have?,choe lu CD gamchi ra yoe
How many did you want?,gam chi goni
How many does he want?,kho gamchi go ni lo?
How many nights will you stay?,chiru gum chi tshen dhay wong ga
How many of the words on this list do you not know?,na lay tshik gamchi shay chi
How much does that cost?,gong gadem chi ena?
How much does your daughter weigh?,choe gi bum kg gam chimo
How much is the car you are planning to buy?,choe ghi gari gum chi bay nyo ni bay do
How much is this camera?,ani camera di gamchi mo
How much money did you win?,teru gamchi thobchi
How much time does she need to translate this book?,mo gi ani kedayp kay jur bay ni dutshey gamchi go yong?
How often and how much should I feed my dog?,nga gi rochi lu gamchi da gadey bay feed bay go ga
How old are your children now?,choe gi alu loo gamchi ya c?
How old might his grandfather be?,Kho ghi agay lo gamchi en ga?
How old were you when you moved to Boston?,choe Boston na jow dha lu lo gamchi dheyi
How was school today?,school gadey bay joi dari
How was the math test?,tshi gi choenju gadey bey deyi
How was your birthday?,choe ge kaywi nyim gaday bay doeye
How was your summer vacation?,vacation gazum dayi
How would you analyze the situation?,choea gadabay bawong yani zum na
Hug me.,pham tan na nga
Hug me.,nga pham tab na
Hug Ugyen.,Ugyen pham tabsh
Humans aren't the only animals that use tools.,mi cham chi men semchen nalay lachey lalen thab mi
"Hurry up, or you will be late for school.","joba bey, dhi men choe lobdra jo ni chi wong mey"
Hypnotism works.,Hypnotism gi la baewong
I accompanied him on the trip.,nga gi khi accomoanied baeyi trip na lu
I actually had fun tonight.,nga dhi khatsha trowa thoen yi
I admire your dedication.,nga nye rangye choe ghi tsa gen thang ta bay
I advise you to change clothes.,gola so di goen pi lab ja
I agree.,I agree.
I almost never listen to the radio.,nga maa sho chi radio ngan nee mee.
I almost passed out.,Nga dre mi gay ni bayi
I already know.,nga gi shay
I always counted you as a friend.,Nga gi choe hema lae ra charo bae tsi ye
I always have a lot of fun when I come here.,nga na wom da tro wa then may
I always thought you'd make a cute couple.,choe nye ja chi chi thong say nga atara no ye
I am a foreigner.,nga chillip en.
I am a professor.,Nga professor en bro
I am alarmed by your irresponsible attitude.,choe attitude kham lo cc dee gi nga irri zoo doo.
I am American.,Nga American enn
I am from Brazil.,nga Brazil ley enn
I am going to study English this afternoon.,nga english lhab go bay afternoon na
I am happy to hear your voice.,nga choe ghi kay go dhi sem gayi
I am human.,nga me enn
I am in Paris.,nga Paris na en
I am looking forward to Christmas.,nga Christmas lu ghu day dhi
I am loved by my parents.,nya ra gi pham tus gi nga lu ga
I am not a witch.,Nga dym men mea
I am not wearing any underwear.,Nga underware ma tshu wa yoe sa
I am poor at drawing.,nga pa dri mishey
I am poor at tennis.,nga tennis na layshum mai
I am sure of his honesty.,Kho ghi ben shob ra me chab
I am swamped with work.,nga lu la kno know chi yoe
I am taking tomorrow off.,nga naba nayl so len dho
I am very pleased.,nga sem gaye
I am worried about my mother's health.,Nga ai gi zukham korley tsha jang lang dho
I am yawning because I feel sleepy.,nga yawn baw may gachi bay sen nge nyedhu chab chi
I appreciate all you've done.,nga choe teu gi la ylta bay ney rang yie
I asked Chime if he knew Mary.,"nga ghi chime lu dri yi , kho ghi mary ngo shay ga sey"
"I asked Gyeltshen if he would go, too.",nga gi Gyeltshen lu kho ya jp na say dri yi
I asked him a question.,Nga gi kho lu question chi ask bay yi
I asked him about the accident.,nga gi accident gi korlay kho lo dri yi
I asked him where I could park my car.,Nge gari dhi gatay park chab na say driyi kho lo
I asked my teacher what to do next.,shulay gachi ben na teachet lu dei tayii
I asked the boy to throw the ball back.,nga bus lu ball lok ko nang lab chi
I assume so.,nga gi ya anibay ra no ye c
I assure you this isn't just about money.,nga gi shay yani di teru gi kolay chamchi men
I beg your pardon. I didn't think this was your seat.,tsip ma za dhi choe gi doe sa emm ma shay
I believe it is a genuine Picasso.,nga gi believe baewong ani dhi picasso embay sey
I believe that there's a mistake.,nga gi baywa chin zoewa chi dhu
I believe this is inaccurate.,nga ghi sam char na bae wa chin den pa chi mindu
I belong here.,nga na
I bet stuff like this doesn't happen to Thinley.,kho na dhizum thoen rang me thoen
I bet you're talking about Chime.,nga shay choe tsu Chime ko lay lab en sey
I bet you've never climbed a tree.,"nga gi thrang dhi ra lab gay, choe hayma shing gu zay ra zayp yong"
I bit my tongue.,Nga ra chel soo tab dhai
I borrowed the book from this library.,nga book ani library lay borrow bei
I brought wine.,nga ge wine bayi
I bumped into an old friend on the bus.,haema gi charo chi chay chi bus na
I burned the cake.,cake tse so nu
I called him to the telephone.,Kho telephone na call chap chi
I came across this book in a secondhand bookstore.,ani keydep dhi nga ghi keydep tshongkha gyap chi na thongye
I can cook.,nga gi to bay shey
I can hardly walk.,nga lham ra jomi tsu bay
I can keep a secret.,Nga secret baen pitsa bay secret bayra zhawong
I can peel an apple.,bag gi apple pa ko shub tshub
I can put things in a box.,Chala dhitsu dom na tsu
I can resist everything but temptation.,nga ge gachi ya resist bay tsub but except temptation
I can speak English.,nga gi enkay lab shey
I can take a message.,Messgae dhi len zha gay tay
I can teach you how to cook.,nga gi choe lu to bay ni tshub.
I can walk to school in 10 minutes.,nga lobdra na karma chutham na hay tshu
I can't afford to buy a new car.,Nga gari sab nyo metshu
I can't afford to do that.,nga gi bay metsu
I can't afford to play tennis.,Tennis tse ni doen lu afford bay mistub bay
I can't be unconcerned about your future.,Choe ghi mayongpa ghi dhen lu nga dhi tsaja malang ba dhey mitsu
I can't believe that's what's really bothering Tashi.,"Nga den zi ri mi tsu bey, aphi gi i bother beyi lap da"
I can't believe you actually did something like that.,choe ghi ani zum chi bayee si nga ngo sam ra ma tang
I can't believe you're doing this.,Nga believe bay mitsub bay choe aney bay baee may sey
I can't carry on like this.,nga anay bay dey mitsu nimae
I can't conceive how I could have made such a mistake.,"nga ra yang mi shay bay, nga gi ani zum mistake bay ye say"
I can't decide what to order.,Gachi order ben na meshay bay nga
I can't do it right away.,nga ghi dhato rang bay metshu
I can't do this alone.,ani nga ra chi bay mitsub
I can't find anybody to ask.,ga ghi dri ni ena ma shay
I can't find time to read the book.,mga book lhap ni time mithob bay
"I can't go, nor do I want to.","nga jo mecho, jo go ya manoo"
I can't imagine what it must've been like.,nga nos tang me tshubay gazum wong ga
I can't make it any clearer.,"dem chi lay, ga dem chi clear lab gob mo"
I can't protect you.,nga ghi choe dag zin bey mitshu
I can't read lips.,nga gi kha lhap mishay
I can't remember it.,nga ge remember bay metsub bay
I can't save you this time.,dhaban charo bay mi tshub
I can't see anything with my right eye.,Nga gi right eye lae gani ya thong mitsub bae
I can't speak to Ugyen.,ugyen nam lo melap
I can't stand the noise.,Nyamtshayi
I can't stay for dinner.,Nga dinner na doe mitsub
I can't stay here any longer.,dha ben nga na lu ma pa lay day me tsu bay
I can't take chances.,nga bay mi tshu
I can't tell you how long I've waited for this.,nga choe lu nam lay gu yi ga lab me sup
I can't tell you how to pronounce the word.,ani ga day bay lap na nga gi ya mi shay
I can't think about this now.,Nga mano ani korley dato
"I can't turn it on, because the switch is broken.",nga ge thay ma tshup de map ya so nu
I canceled my hotel reservation.,nga gi hotel reservation cancel bayi
I cannot stop the bleeding.,thra ju mi du wae
I caught him by the arm before he could fall.,kho bab ri ni bew dha nga gi kho lap zung zha yi
I caught him cheating on the exam.,Nga gi kho trem chabsa thongyee
I chose last time. You choose this time.,Nga gi last time choose bayi. This time choe choose bay mae
I come from a humble background.,nga dhi humble background lay woyee
I contacted my parents.,nga apa aie lu labchi
I could fire you for that.,phi ghi zholay choe toen tang tub marey
I could kick myself for not bringing a map.,sabthra mabaw lay nga ngara doksi lu go nouu may
I could make nothing of what he said.,kho gi lab mi dhi hara mago
I could try.,Nga ge bay tshub wong
I could use a little sleep.,nga atshi nay go bay
I couldn't bring myself to take the job.,la dhi bey ni noe ma tsu
I couldn't get a definite answer from him.,kho ley len tenten chi thob matsub
I couldn't see Pema's face.,nga pema ghi dong mathong
I cut classes.,Joni mi class na
I dance in my living room all the time.,living room na zhab thra cham wong
I dated Mary for three years.,nga Mary chikha lo sum date bayi
I delivered a lecture in English.,nga ghi ingkay na paycha tenyi
I deserve it.,nga gi thobthan enn
I did everything I could.,nga gi bay tsu mi dhi bayi
I did find something.,nga gi ga chi na chi thob chi
I did the job in three days.,la nyim sum na bae tang yi nga ghi
I did this for my son.,nga rai bu gi den lu baye
I did this myself.,nga nga ra ra byai
I did what had to be done.,Nga ra bay go mi dhi bay yi
I didn't do anything.,nga ghi gani ya mabey
"I didn't do this, did I?","nga bay ra mabay , bay ye ya?"
I didn't drive.,nga ga ri ra ma tang
I didn't expect to see you at a place like this.,Nga expect ma bay choe ani zum place na choe do wong sey
"I didn't feel very well, but I went to work anyway.",Nga naru la na joyi
I didn't go to school last Monday.,Nga school majo last Monday na
I didn't kill Tashi.,nga Tashi ma se
I didn't know that at the time.,ani khab nga mashep dhoeyi
I didn't know that.,nga ge ma shay
I didn't know you were a doctor.,choe doctor en sey mashey ty nga ge
I didn't know you were from Boston.,nga choe Boston lay en sey mashay
I didn't know you were staying at this hotel.,nga gi mashey chie ani za khang na doe bi tsay
I didn't mean to pry.,Nga gi aney zum noo bay dre drep ra men
I didn't move a thing.,nga bi chala mapa
I didn't pay attention to him.,nga kho lu damn majin
I didn't recognize it at first.,nga ghi first na ngo ma shay
I didn't sleep long enough.,nga amchi ma ney
I didn't sleep.,nga ma nge
I didn't speak.,nga lo malap
I didn't suspect anything.,Ga chi ya suspect ma bay tay nga gi
I didn't take it. You can check my pockets.,nga ghi maba. nge ghi hemchu ta
I didn't want Gyeltshen to help me.,gyeltshen gi nga lu charo bay me go
I didn't want to spend any more time in bed.,chab go ma no
I didn't want to spend any more time working on that project.,nga ani project na zhen ten bay la bay go ma noo
I didn't want you to feel you were alone.,Nga choe ra cham chi en sey no michu
I didn't work yesterday.,Kha tsha nga la ma bay
I didn't write that letter.,nga ghi yego ma dri.
I dipped my finger into the honey.,ngyi zu mo ghi honey na tshu yi
I disapprove of what you say.,choe labmi medoen
I do my homework after school.,School zo bay homework baywi
I do not even know what to say to that.,nga dhi gachi lab na ya meshay bay
I do not like any of these hats.,nga gi analey hat chi ya maga
I do not like mathematics very much.,nga tshi nam mey sa mey chi gaa ne mae
I do not want any money.,nga tiru mingo
I do that all the time.,nga atara ani bay bi
I don't believe that's the truth.,nga dhi ani lo na den zi me rey bay
I don't believe you've met him.,nga den zi ra ma ray choe gi ko chayi lab da0
I don't care a bit about the future.,future lu damn miii
I don't care how old you are.,Nga mishey choe gam chi old ena
I don't care why Chime did it. I'm just glad he did.,nga mishey chime gi gachi bay gayi ga debaew da chime gi bay di sem gayi
I don't deserve this.,nga ani deserve mi bay
I don't feel like doing my math homework now.,nga dha tho tshi gi chimla bay go mano
I don't feel like studying English today.,nga paycha lhap go ma no
I don't gamble.,Gamble mabay.
I don't handle loneliness well.,nga loneliness handle bay mishay bay
I don't have a good feeling about this.,ani ghi korlay leyshum chi matso
I don't have an opinion either way.,nga lu len gani ya mi
I don't have anything to complain about.,Nga gachi ya mi complain bay ni gi
I don't have medical training.,nga lu so yi training mi
"I don't have money, but I have dreams.",nga lu teru di mi day bew da nga mi gyel yoe
I don't have much money now.,nga lu teru jobjob me dhato
I don't have the time for this.,de tshay me ani ghe dhen lu
I don't have to listen to that.,nyen go mano
I don't keep a diary.,nga dairy zha ni me
I don't know anything about the future.,future korlay gani ya meshay
I don't know exactly.,nga ngom ba mishay
I don't know him.,Nga gi kho ngo meshay
I don't know how else to put it.,gadey bay lab na meshay bay
I don't know how to do that.,nga ghi meshay gaday ba bena
I don't know how to handle this.,nga dazin bay metsubay
I don't know how to reach you.,Choe luu ga they bay lab na mashay
I don't know much about computers.,lorig computers ge korly atsi rey chamchi shey
I don't know much more than that.,dhi ley maam mishay
I don't know the reason why he went there.,Nga mashay kho gachi bay apha go yi ga
I don't know what could've happened.,gachi bay yong ga nga meshey
I don't know what to do here.,nga na gachi ben ni
I don't know what to say to Pema.,Nga meshey Pema lu gachi lab na
I don't know when I can take a break.,nga nam nye tsho thob ga meshya bay
I don't know when I'll be back.,nga nam lok wong ga mi shey bey
I don't know where he comes from.,kho gatay lay ena nga mishay
I don't know which button to push.,nga me shay button ga dhe phoe na
I don't know who's coming.,"nga gi mi shay, ga yong ena"
I don't know whose umbrella this is.,nga mishey mai gagi umbrella ena di
I don't know why we're so busy.,Mashay nga chay dee amche ra makhom ena
I don't know you anymore.,nga choe nga mi shay bey.
I don't like any of these pictures.,ani picture chi yang miga bay
I don't like bad boys.,bus layshom mey mi tsu miga bay
I don't like being told what to do.,"Rho gi la bay lab da, nga bay go me ngo bay"
I don't like coffee.,nga coffee mega.
I don't like him.,Nga kho me ga
I don't like silence.,nga khu sim sim they ni lu mi gha
I don't like spring.,nga sokha mi ga wey
I don't like the way he speaks to me.,kho lo lab lab maga
I don't like this jacket.,nga ani jacket mi ga wae
I don't like your attitude.,Nga choe gi attitude ma ga
I don't mind getting up at six.,nga droba dhutse drue na long ru matub mi
I don't need a wheelchair.,nga kang dhri ring mo mi gho
I don't need an office.,Nga lu office mingo
I don't need luck.,nga lu dhaw mango
I don't need whatever it is you're selling.,choe ghi tsong mi dhi gachi bey ru nga mingo
I don't often think about the past.,nga hema ghi kolay no sam tang ni mi
I don't particularly want to do that.,nga ani bay go mano
I don't put sugar in my coffee.,nge coffee na chini luni mi.
I don't read this kind of book much.,nga dey zum mei lhadep lha ney mi
I don't really know why he wrote the book.,Nga mishey bay ga chi bay book di dri yi ga
I don't really need your help.,choe help ra may go bay nga
I don't see any footprints anywhere.,footprint gaty ya mithong bae baya
I don't see how.,nga gi me thong bay gaday bay
I don't see the appeal.,jiks chi mindu
I don't see what the fuss is about.,problem gachi yoep ena ha ma go
I don't talk to him anymore.,nga kho nam kha lab ni mi
I don't think he'll come.,kho me wong ne zum chi du
I don't think Mary is as pretty as her sister.,mary dhi mo ra gi num la garim mindu
I don't think we need that.,nga chey ani mingo bay
I don't think you ought to.,choe lhen thab min dhu
I don't trust many people.,nga gi dhi mi ga lu ya trust mi baeyi
I don't understand the meaning of this phrase.,ani dhigi gachi lab enna meshay bay
I don't understand what all of the fuss is about.,nga ha mi go way gachi na dop enna
I don't understand what the author is trying to say.,Author gi labmi hamago
I don't understand what's happening.,ha mi go bay gachi baywo ena
I don't want anybody writing about me.,Nga gi kor lay gaa gi yang ma dree rung tub bay
I don't want anyone to see us.,ngachey ga ghi ya thong chu go mano
I don't want there to be any misunderstanding.,mga chat tsu gi nar ma misunderstandings ming go may
I don't want to be any more burden to my parents.,nga pham lu rey dhi dhey go manno
I don't want to be killed.,nga shigo mano
I don't want to hear any more excuses.,excuse na may sa may ma zo
I don't want to meet your parents.,nga choe pam nam chaygo mano
I don't want to see you here again.,choe na lok thong go makno
I don't want to share the hotel room with a stranger.,Nga room stranger ngyam share bay go mano
I don't want to talk to you about this.,Nga choe lu ani ko ley lap go mano
I don't want you to get hurt.,nga choe neb thoen chu go ma no
I don't want you to get the wrong impression.,nga choe gi dhongkha zob thong go mano
I don't want your legal advice.,nga advice me gi se legal bay ru
I doubt that.,mashay mai
I drank the water.,nga chu thung yi
I dream of a quiet life in the country.,gayelkhab de na lay jo o noi
I dream of becoming a teacher.,nga lopen bae nee nosam yoe
I drive.,nga gari tang gay
I enjoy chess.,Chess ga ye nga.
I enjoyed talking with him at the party.,Party na kho da chikha shay tho tang ni gi trowa jung ye
I especially want to thank our record-breaking sales team.,nga sales team lu kadrin sam ni yoe
I excused myself for a minute.,minute chi ghi den lu excuse go bay
I expect to sing better next time.,Nga next time better sing bay do wong sey expect bay do
I feel as if I were dreaming.,nga ngyelam na zum bawmae
I feel betrayed.,Nga betray baydo zumbay feel baeyi
I feel better already.,nga atsi dra bay
"I feel better today, but I am not well enough to work.",Nga a tshai dra bay san la dhi bay me tshub ni em bay
I feel funny.,nga ga go ngo sisi bayi
I feel good after a workout.,workout tsabay nga deytotok baw may
I feel like I'm in a dream.,nga nyelam nang yoe do zum tshow mey
I feel like smiling.,nga ga go noh may
I feel really proud.,ngara proud feel bawmae
I feel really strongly about it.,nga dhi ani kor lay sem ra ga ye
I feel so embarrassed.,Nga ngo tsa drey mitsub bay
I feel sympathy for people with that disease.,dhuezum gi nay zhi yoe mi mi dhi pham may
I feel terrific.,jay longyi
I feel very guilty.,nga logya ma jo
I fell for it.,Denzey rey yi si
I fell in the pool.,nga pool na bue ya c
I fell.,nga bob ri cc
I fell.,bob ri cc nga
I felt a light touch on my shoulder.,nge chey to gu touch light chi feel beyi
I felt left out.,nga left out feel baew may
I felt my phone vibrate in my pocket.,nga ghi phone pocket na lay vibrate bay dho zum tshoyee
I figured it was better not to go without you.,nga che may ba mijo say noi
I figured you weren't coming.,choe me yong noe yee tay.
I filled in the blanks.,nga gi sa to g sup chi
I finally caught up with my friends.,charo tsu da chay chi
I finally got a job.,dhaben nga la chi thob chi
I finished it.,nga zo c
I finished the work in less than an hour.,nga gi la ganthra chi majob lay zo si
I forgot my credit card at home.,nga credit card chim na lue su nu
I forgot to ask him.,kho lu dri ni jay so nu
I forgot to tell you the babysitter's name.,Nga choe babysitter gi ming lab ni jey c nu
I forgot you were listening.,choe nyen dayii say jay so nu
I found it difficult to use the machine.,nga ghi machine tro dha la kha chab mae
I found the book by accident.,nga ghi ketap thob chi.
I found the secret compartment quite by accident.,secret compartment accident bay thob chi
I frequently recall my happy childhood.,nga threy threy ra chungku bay sem ga dey doeb ghi cheri tang may
I fully support your proposal.,nga choe gi droechar lu jabchor yoe
I gather you were hurt.,nga shey chi choe hurt joyi sey
I gathered from this letter that he was angry.,kho ley thop thop en kho tsip za doeo da
I gave her just what she needed.,nga mo lu gomi di gin yiii
I gave up hope.,nga hope ra zosi
I gave you an extra hour and you still didn't finish the job.,nga gi choe lu laa bey ne gi duetshay chi thayp yoe ru bey ma tsha wae
I gave you my word.,che lu nge kha tsi enn
I go jogging.,nga jukni yoe
I go to the park.,nga park na joni
I got an ink blot on this form.,yikcha gu naktsi raye
I got busy.,nga dhay khom me
I got to the bus stop just after the bus had left.,nga bus stop na hayp chi bus gi ko zha ya si
I got what you asked for.,choe ghi lhab mi dhi nga ghi bak wongyi
I guess you want me to leave.,nga tap choe nga na lae song se embay
I had a bad dream last night.,nga khatsa chiru ngelam tshab tshub chi thong ye
I had a feeling you'd say that.,nge choe ani lab wong sey ra noyee
I had a good coach.,nge coach layshom chi yoe
I had a late lunch.,ngymai toh chesu bay zai
I had a nightmare.,nga milam tshap thup thong ye
I had a puppy when I was a boy.,nga chunku bay doep da rochi chi yeo
I had difficulty in making myself understood in French.,Nga lakha ra tang gi French hago tsub zoni doen lu
I had forgotten how beautiful you are.,Choe amchi jarim yoe si jay so nu
I had fun with it.,trowa thone yee may ani nam.
I had fun.,nga trowa jungyi
I had hoped you might say that.,choe gi ani zum bay lab dho wong zera noye nga gi
I had my brother put this room in order.,Nge ghi nuchu/ acho ghi room hingsang sang bey zhanu.
I had my licence renewed a week ago.,nga gi licence renewed bayee hapta chi gi hayma
I had my suitcase carried up to my room.,Nga ra suitcase room tshen baye
I had no idea what I should write.,nga gachi drinna mashey
I had no idea.,nga me shay ba ya
I had no time to eat.,nga toh zani time ra mathob
